,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,
HUQHarIZ7m,something tie dye  ,0,a truck,2,flamingo,2,violin,2,book?,0,whistle,2,none,0,hourglass,2,duck,2,seashell,0,none,0,house,2,picture frame,2,none,0,none,0,grass,0,mushroom,2,animal,2,bird,0,nothing,0,nothing,0,hamster,2,bell,2,soccer ball,2,lemon,2,nothing,0,mountains,2,beach,0,plane,2,car,2
pZWzvDX1TG,grass  ,0,truck,2,bird,2,anchor,0,nothing,0,key,0,deer,0,snake,0,duck,2,nothing,0,deer,2,tree,2,ground,0,bus,2,bus,0,grass,0,grass,2,squrriel,2,squrriel,2,deer,0,leg,0,bunny,2,nose,0,bird,0,circle,0,ear,0,deer,0,nothing,0,plane,2,car,2
pNVAWgedoE,It looked like a tiger print but with clock or something in it.   ,0,"Semi-truck on the road, blue sky",2,flamingo,2,violin,2,carpet,0,"garbage, a skull",0,guts,0,hourglass,2,duck,2,shoe,0,horse,2,yurt or tent,2,picture frame,2,bridge,0,shirt,0,basket,0,jellyfish,0,beaver,2,paper,0,bag,0,monkey,0,hamster ,2,sink,0,soccer ball,2,eggs,0,squirrel ,2,mountain,2,sailboat,2,cat,0,car,2
TNMmCQGbe0,round  ,0,mountain,0,parrot,0,angor,0,tree,0,monkey,0,rock,0,sail,0,duck,2,pipe,0,elephant,2,path,0,square,2,building,0,sky,0,tree,0,greeni,0,beer,2,sky,0,snack,0,forest,0,animal,2,cup,0,play,0,vada,0,gangaroo,2,forest,2,tree,0,plane,2,car,2
YjvhQaAoBN,clock  ,2,truck,2,flamingo,2,violin,2,typewriter,2,none,0,none,0,wine glass,2,duck,2,shoe,0,horse,2,tent,2,none,0,school bus,2,none,0,none,0,none,0,badger,2,rabbit,2,none,0,swing set,2,guinea pig,2,none,0,soccer ball,2,lemon wedge,2,none,0,mountain,2,none.,0,airplane,2,car,2
3cI1Fh0j3J,painting  ,0,mountain,0,flamingo,2,violin,2,none,0,seashell,0,shark,2,none,0,duck,2,none,0,horse,2,house,2,picture,2,trees,0,none,0,chair,0,none,0,gorilla,2,grass,0,none,0,driveway,0,hamster,2,oil drum,0,soccer ball,2,coin,0,monkey,2,mountain,2,hallway,0,eagle,0,car,2
6eJ7zSaETp,None  ,0,car,2,none,0,violin,2,none,0,none,0,None,0,None,0,duck,2,None,0,man,0,tree,2,None,0,None,0,None,0,None,0,None,0,monkey,2,None,0,face,0,None,0,hamster,2,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
IVPY0Scoqq,mirror  ,0,bridge,0,swan,2,none,0,none,0,none,0,pig,0,none,0,water,0,none,0,none,0,forest,2,none,0,none,0,car,0,grass,0,none,0,monkey,2,none,0,none,0,none,0,none,0,cup,0,football,2,none,0,cave,0,eye,0,none,0,aeroplane,2,none,0
TtosKc0GFo,  none,0,18 wheeler,2,flamingo,2,fiddle,0,none,0,whistle,2,none,0,hour glass,2,duck,2,none,0,none,0,yurt,2,none,0,school bus,2,none,0,none,0,none,0,monkey,2,none,0,none,0,none,0,mouse,2,bell,2,soccer ball on something,2,sliced orange,2,none,0,none,0,none,0,airplane,2,car,2
pJum0g9xhz,  none,0,car,2,flamingo,2,violin,2,none,0,whistle,2,shark,2,hourglass ,2,duck,2,none,0,rhino,2,tent,2,frame,2,bridge,0,none,0,matches,2,none,0,bear,2,none,0,none,0,rake,0,guinea pig,2,bell,2,soccer ball,2,orange,2,meerkat,2,beaver,0,none,0,plane,2,none,0
