Code,Condition,Image id ,Subject's answer,Reaction time
JsA6x79ZLu,3,1,lipstick  ,3.972
JsA6x79ZLu,3,2,spider,2.923
JsA6x79ZLu,3,3,bear,4.56
JsA6x79ZLu,3,4,clock,3.183
JsA6x79ZLu,3,5,zebra,3.081
JsA6x79ZLu,3,6,baby crib,5.673
JsA6x79ZLu,3,7,carriage,7.685
JsA6x79ZLu,3,8,fan,3.652
JsA6x79ZLu,3,9,"tiger, palm",5.353
JsA6x79ZLu,3,10,bus,3.032
JsA6x79ZLu,3,11,none,5.859
JsA6x79ZLu,3,12,"speedometer, dashboard",7.033
JsA6x79ZLu,3,13,fruit,3.97
JsA6x79ZLu,3,14,"dog, elephant",4.513
JsA6x79ZLu,3,15,footprint,4.506
JsA6x79ZLu,3,16,ocean waves,3.934
JsA6x79ZLu,3,17,"sink, bottle",4.428
JsA6x79ZLu,3,18,"butterfly, grass",4.144
JsA6x79ZLu,3,19,"boat, water",5.268
JsA6x79ZLu,3,20,cactus,3.669
JsA6x79ZLu,3,21,piano,3.16
JsA6x79ZLu,3,22,"zebra, grass",3.933
JsA6x79ZLu,3,23,"gun, rope",3.887
Gy6TaSbV8m,4,1,  Ram,5.412
JsA6x79ZLu,3,24,"violin, sunflower",9.634
JsA6x79ZLu,3,25,"bananas, scuba diver",5.145
Gy6TaSbV8m,4,2,Squirrel,5.131
JsA6x79ZLu,3,26,airplanes,3.21
Gy6TaSbV8m,4,3,Rabbit,5.16
JsA6x79ZLu,3,27,kayaker,6.429
Gy6TaSbV8m,4,4,Fox,4.732
JsA6x79ZLu,3,28,cello player,5.816
JsA6x79ZLu,3,29,watches,2.716
Gy6TaSbV8m,4,5,Elk,6.491
JsA6x79ZLu,3,30,dog ear,2.982
Gy6TaSbV8m,4,6,Banana,6.267
Gy6TaSbV8m,4,7,Apple,5.205
Gy6TaSbV8m,4,8,None,4.146
Gy6TaSbV8m,4,9,Bridge,4.94
Gy6TaSbV8m,4,10,Painting,7.308
KAdBwZw0e6,1,1,Goat  ,26.798
Gy6TaSbV8m,4,11,Toilet,4.358
Gy6TaSbV8m,4,12,None,4.136
Gy6TaSbV8m,4,13,None,3.713
KAdBwZw0e6,1,2,not clear,16.302
Gy6TaSbV8m,4,14,None,4.207
Gy6TaSbV8m,4,15,Snail,4.834
9hyc4BF4l7,6,1,  ants,6.72
KAdBwZw0e6,1,3,Van,17.08
Gy6TaSbV8m,4,16,Hot air Balloon ,10.395
9hyc4BF4l7,6,2,colored lines red and blue,10.064
Gy6TaSbV8m,4,17,None,4.368
KAdBwZw0e6,1,4,Van,11.352
9hyc4BF4l7,6,3,gorilla,3.787
KAdBwZw0e6,1,5,House,5.247
Gy6TaSbV8m,4,18,Barrel ,7.48
9hyc4BF4l7,6,4,tree stump,6.361
KAdBwZw0e6,1,6,Baby,3.528
9hyc4BF4l7,6,5,lady bugs,5.233
Gy6TaSbV8m,4,19,Bike,5.947
KAdBwZw0e6,1,7,Car,3.155
Gy6TaSbV8m,4,20,Cat,3.776
